rideable_type,member_casual,Day Name,Month Name,Custom,Hour,Count
classic_bike,member,Wednesday,January,30 to 60,7,39
classic_bike,member,Monday,January,30 to 60,8,37
classic_bike,member,Sunday,January,10 to 30,8,55
classic_bike,member,Thursday,January,10 to 30,12,152
electric_bike,member,Tuesday,January,Under 10,22,121
classic_bike,member,Saturday,January,10 to 30,11,169
electric_bike,member,Monday,January,Under 10,17,670
electric_bike,member,Friday,January,Under 10,0,37
classic_bike,member,Saturday,January,Under 10,18,183
classic_bike,member,Sunday,January,10 to 30,7,28
classic_bike,casual,Wednesday,January,10 to 30,10,25
electric_bike,member,Sunday,January,Under 10,12,219
electric_bike,member,Sunday,January,Under 10,19,142
classic_bike,member,Thursday,January,10 to 30,19,168
electric_bike,member,Wednesday,January,10 to 30,19,149
classic_bike,member,Monday,January,30 to 60,19,14
classic_bike,member,Monday,January,10 to 30,20,108
electric_bike,member,Friday,January,Under 10,7,293
classic_bike,member,Thursday,January,Under 10,7,543
electric_bike,member,Wednesday,January,Under 10,6,393
electric_bike,member,Thursday,January,Under 10,6,282
classic_bike,member,Wednesday,January,Under 10,7,771
electric_bike,member,Tuesday,January,Under 10,6,258
electric_bike,member,Monday,January,Under 10,6,248
electric_bike,member,Tuesday,January,Under 10,19,266
classic_bike,member,Friday,January,Under 10,16,409
electric_bike,casual,Saturday,January,Under 10,6,13
classic_bike,casual,Friday,January,10 to 30,10,12
classic_bike,member,Monday,January,Under 10,12,374
classic_bike,member,Wednesday,January,Under 10,19,548
classic_bike,member,Saturday,January,Under 10,17,231
electric_bike,casual,Wednesday,January,Under 10,3,5
classic_bike,member,Sunday,January,Under 10,13,290
classic_bike,casual,Tuesday,January,10 to 30,14,44
classic_bike,member,Tuesday,January,10 to 30,8,334
classic_bike,member,Monday,January,10 to 30,8,323
classic_bike,member,Tuesday,January,Under 10,22,129
classic_bike,casual,Saturday,January,Under 10,12,54
classic_bike,member,Saturday,January,10 to 30,10,123
electric_bike,member,Friday,January,10 to 30,16,159
classic_bike,member,Wednesday,January,10 to 30,23,35
classic_bike,casual,Thursday,January,Under 10,12,61
classic_bike,casual,Friday,January,10 to 30,20,17
classic_bike,casual,Saturday,January,Under 10,9,39
classic_bike,casual,Thursday,January,Under 10,22,27
classic_bike,casual,Sunday,January,Under 10,20,20
classic_bike,member,Tuesday,January,10 to 30,23,26
classic_bike,member,Tuesday,January,10 to 30,9,166
classic_bike,casual,Sunday,January,30 to 60,11,5
classic_bike,casual,Wednesday,January,Under 10,17,115
classic_bike,casual,Wednesday,January,10 to 30,13,30
electric_bike,member,Sunday,January,10 to 30,0,29
electric_bike,member,Tuesday,January,Under 10,20,196
classic_bike,member,Saturday,January,10 to 30,18,82
classic_bike,member,Tuesday,January,30 to 60,19,20
classic_bike,member,Sunday,January,Under 10,12,280
classic_bike,member,Thursday,January,Under 10,21,181
electric_bike,member,Wednesday,January,Under 10,10,288
classic_bike,member,Tuesday,January,10 to 30,21,84
classic_bike,casual,Wednesday,January,Under 10,13,63
electric_bike,casual,Sunday,January,Under 10,0,28
electric_bike,member,Thursday,January,10 to 30,13,123
electric_bike,member,Sunday,January,Under 10,18,164
electric_bike,member,Friday,January,10 to 30,21,61
electric_bike,member,Tuesday,January,10 to 30,14,120
electric_bike,member,Thursday,January,Under 10,13,401
classic_bike,member,Friday,January,Under 10,20,179
classic_bike,member,Saturday,January,10 to 30,15,131
classic_bike,member,Monday,January,10 to 30,15,249
electric_bike,casual,Monday,January,Under 10,1,64
classic_bike,member,Tuesday,January,Under 10,10,259
electric_bike,member,Friday,January,Under 10,16,465
classic_bike,member,Tuesday,January,10 to 30,18,288
electric_bike,member,Wednesday,January,Under 10,14,400
electric_bike,member,Thursday,January,30 to 60,15,16
electric_bike,casual,Wednesday,January,Under 10,16,175
electric_bike,casual,Saturday,January,Under 10,1,33
classic_bike,casual,Thursday,January,Under 10,14,67
classic_bike,casual,Tuesday,January,Under 10,15,58
electric_bike,member,Friday,January,30 to 60,12,10
electric_bike,member,Monday,January,30 to 60,12,6
electric_bike,member,Wednesday,January,Under 10,22,152
electric_bike,member,Monday,January,Under 10,1,94
classic_bike,member,Wednesday,January,30 to 60,9,26
electric_bike,member,Friday,January,Under 10,8,309
classic_bike,member,Monday,January,10 to 30,17,430
electric_bike,member,Thursday,January,10 to 30,8,342
classic_bike,member,Monday,January,Under 10,20,237
classic_bike,casual,Wednesday,January,Over 60,10,4
electric_bike,member,Monday,January,30 to 60,16,10
electric_bike,member,Tuesday,January,10 to 30,15,154
classic_bike,member,Wednesday,January,Over 60,18,6
electric_bike,member,Saturday,January,10 to 30,10,72
electric_bike,member,Wednesday,January,Under 10,13,402
electric_bike,casual,Monday,January,Under 10,16,151
classic_bike,casual,Thursday,January,10 to 30,15,44
electric_bike,casual,Wednesday,January,Under 10,19,89
classic_bike,member,Sunday,January,10 to 30,22,24
classic_bike,casual,Sunday,January,Under 10,16,46
classic_bike,casual,Sunday,January,Under 10,0,9
classic_bike,casual,Thursday,January,Under 10,0,5
classic_bike,casual,Sunday,January,Under 10,17,29
classic_bike,casual,Wednesday,January,Under 10,20,67
classic_bike,member,Friday,January,Under 10,0,41
electric_bike,member,Saturday,January,10 to 30,15,123
electric_bike,member,Wednesday,January,10 to 30,8,339
electric_bike,member,Thursday,January,30 to 60,17,23
electric_bike,member,Wednesday,January,10 to 30,11,88
classic_bike,member,Thursday,January,30 to 60,9,10
electric_bike,member,Sunday,January,10 to 30,13,103
classic_bike,member,Wednesday,January,10 to 30,20,178
classic_bike,member,Monday,January,10 to 30,10,94
electric_bike,member,Wednesday,January,10 to 30,14,172
electric_bike,member,Monday,January,Under 10,8,457
classic_bike,member,Thursday,January,30 to 60,12,30
electric_bike,casual,Friday,January,Under 10,17,99
electric_bike,casual,Saturday,January,Under 10,20,31
classic_bike,casual,Wednesday,January,10 to 30,18,53
electric_bike,member,Monday,January,Under 10,9,316
electric_bike,casual,Thursday,January,10 to 30,14,27
electric_bike,casual,Friday,January,Under 10,22,50
classic_bike,member,Sunday,January,Under 10,8,120
classic_bike,casual,Wednesday,January,Under 10,23,28
electric_bike,member,Sunday,January,Under 10,11,174
electric_bike,member,Wednesday,January,Under 10,11,273
electric_bike,member,Saturday,January,10 to 30,9,55
electric_bike,member,Saturday,January,10 to 30,8,44
classic_bike,member,Thursday,January,Under 10,18,620
electric_bike,member,Thursday,January,10 to 30,20,93
classic_bike,casual,Tuesday,January,Under 10,10,40
classic_bike,casual,Saturday,January,Under 10,19,21
classic_bike,casual,Sunday,January,Under 10,18,22
electric_bike,casual,Sunday,January,Under 10,20,37
classic_bike,casual,Sunday,January,Under 10,14,52
classic_bike,casual,Wednesday,January,Under 10,22,38
electric_bike,casual,Thursday,January,Under 10,7,112
classic_bike,casual,Saturday,January,Under 10,11,45
classic_bike,member,Saturday,January,Under 10,10,250
electric_bike,member,Sunday,January,10 to 30,21,37
classic_bike,member,Thursday,January,10 to 30,15,233
electric_bike,member,Monday,January,10 to 30,16,262
electric_bike,member,Thursday,January,10 to 30,17,413
classic_bike,member,Sunday,January,10 to 30,20,40
classic_bike,member,Sunday,January,10 to 30,21,35
electric_bike,member,Tuesday,January,10 to 30,18,174
classic_bike,member,Friday,January,Under 10,21,114
classic_bike,member,Wednesday,January,Under 10,11,405
classic_bike,casual,Thursday,January,10 to 30,19,29
classic_bike,casual,Saturday,January,10 to 30,18,28
classic_bike,casual,Monday,January,Under 10,17,83
classic_bike,casual,Saturday,January,Under 10,13,46
electric_bike,member,Friday,January,Under 10,23,70
electric_bike,member,Monday,January,Under 10,16,576
electric_bike,member,Monday,January,Under 10,20,210
classic_bike,member,Sunday,January,10 to 30,9,76
classic_bike,casual,Wednesday,January,10 to 30,20,20
electric_bike,member,Thursday,January,Under 10,14,386
classic_bike,casual,Thursday,January,10 to 30,8,19
classic_bike,member,Wednesday,January,Under 10,21,276
electric_bike,casual,Sunday,January,Under 10,14,64
classic_bike,casual,Thursday,January,Under 10,19,46
electric_bike,casual,Thursday,January,Under 10,20,77
classic_bike,casual,Wednesday,January,Under 10,16,109
classic_bike,member,Tuesday,January,Under 10,21,260
electric_bike,member,Thursday,January,Under 10,21,153
classic_bike,member,Friday,January,30 to 60,18,13
classic_bike,member,Saturday,January,Under 10,2,23
classic_bike,member,Thursday,January,Under 10,23,63
electric_bike,member,Friday,January,Under 10,14,283
classic_bike,casual,Wednesday,January,Under 10,19,65
classic_bike,casual,Monday,January,Under 10,12,61
electric_bike,casual,Wednesday,January,Under 10,7,114
classic_bike,casual,Thursday,January,Under 10,13,60
electric_bike,casual,Wednesday,January,Under 10,12,110
electric_bike,member,Thursday,January,Under 10,17,832
electric_bike,member,Saturday,January,Under 10,15,234
classic_bike,member,Tuesday,January,10 to 30,10,97
classic_bike,member,Sunday,January,Under 10,0,37
classic_bike,member,Tuesday,January,Under 10,5,100
electric_bike,member,Sunday,January,10 to 30,14,96
classic_bike,member,Saturday,January,Under 10,20,85
electric_bike,member,Tuesday,January,10 to 30,11,46
classic_bike,member,Friday,January,10 to 30,9,106
classic_bike,member,Tuesday,January,Over 60,12,8
electric_bike,member,Saturday,January,Under 10,10,173
classic_bike,member,Monday,January,10 to 30,2,16
